Pres. 0-5v = 0-10000 PSI,8,4,0,0,5,10000,0,0,3,3000,5,10000,,,,,,
Pres. 0-5v = 0-5000 PSI,8,4,0,0,5,5000,0,0,2,2500,2.5,2900,3,3200,4,3500,5,5000
Type J 1-5v = 32 - 932 F,12,8,1,32,5,932,1,32,2,300,5,932,,,,,,
Type J 1-5v =  0 - 500 C,13,8,1,0,5,500,1,0,5,500,,,,,,,,
Type K 1-5v = 32 - 1832 F,12,8,1,32,5,1832,1,32,5,1832,,,,,,,,
Type K 1-5v =  0 - 1000 C,13,8,0.8678,0,5,1000,0.8678,0,5,1000,,,,,,,,
Volts,14,0,0,0,10,10,0,0,10,10,,,,,,,,
Pres. 0-5v = 0-689.5 Bars,9,4,0,0,5,689.5,0,0,5,689.5,,,,,,,,
Pres. 0-5v= 0-344.75 Bars,9,4,0,0,5,344.75,0,0,5,344.75,,,,,,,,
Raw A/O Converter Value,0,0,0,0,10,4095,0,0,10,4095,,,,,,,,
Pres. 1-5v = 0-10000 PSI,8,4,1,0,5,10000,1,0,5,10000,,,,,,,,
Pres. 1-5v = 0-5000 PSI,8,4,1,0,5,5000,1,0,5,5000,,,,,,,,
Pres. 1-5v = 0-689.5 Bars,9,4,1,0,5,689.5,1,0,5,689.5,,,,,,,,
Pres. 1-5v =0-344.75 Bars,9,4,1,0,5,344.75,1,0,5,344.75,,,,,,,,
Type K 1-5v = 0-1400 F,12,8,1,0,5,1400,1,0,5,1400,,,,,,,,
Pres. 0-5v = 0-500 PSI,8,4,0,0,5,500,0,0,5,500,,,,,,,,
Die Pres 0-10v=0-20K PSI,8,4,0,0,10,20000,0,0,10,20000,,,,,,,,
Die Pres 0-10v=0-1379 BAR,9,4,0,0,10,1379,0,0,10,1379,,,,,,,,
AD590KF SState Temp sens,13,8,1,-50,5,150,1,-50,5,150,,,,,,,,
Pres1-5V=0-703.07 KG/CM^2,15,4,1,0,5,703.07,1,0,5,703.07,,,,,,,,
AD590KF SState Temp sens,12,8,1,-67,5,302,1,-67,5,302,,,,,,,,
Pres. 0-10v = 0-10000 PSI,8,4,0,0,10,10000,0,0,10,10000,,,,,,,,
Pres. 0-10v = 0-5000 PSI,8,4,0,0,10,5000,0,0,10,5000,,,,,,,,
Not Used,14,0,0,0,10,10,0,0,10,10,,,,,,,,
0 to 5 Volts,14,0,0,0,5,5,0,0,5,5,,,,,,,,
CMD Volts -10 to +10,14,0,0,-10,10,10,0,-10,10,10,,,,,,,,
Pres. 0-4.75v = 0-703.08 KGF/CM2,15,4,0,0,4.75,703.08,0,0,4.75,703.08,,,,,,,,
Pres. 0-5v = 0-689.5 Bars#2,9,4,0.02,0,4.77,689.5,0.02,0,4.77,689.5,,,,,,,,
VACUUM3,32,4,0,-6500,10,3500,0,-6500,10,3500,,,,,,,,
Test Sensor Increasing,13,8,2,380,3,500,4,800,5,1000,,,,,,
Test Sensor Decreasing,13,8,2,1000,3,800,4,500,5,380,,,,,,
Type K 1-5v =  0 - 1000 C,13,8,0.8678,0,5,1000,0.8678,0,5,1000,,,4,800,5,1000,,
Jay's New Sensor,13,15,0.8678,24,5,1000,0.8678,24,2,380,3,500,,,,,,
